title,partner,rating,reviews,description,course_link,enrollment,skills
Google Data Analytics,Google,4.8,158K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-data-analytics,2467180.0,"Category: SpreadsheetSpreadsheet, Category: Data IntegrityData Integrity, Category: Sample Size DeterminationSample Size Determination, Category: SQLSQL, Category: Data CleansingData Cleansing, Category: Data AnalysisData Analysis, Category: Creating case studiesCreating case studies, Category: Data VisualizationData Visualization, Category: Data CleansingData Cleansing, Category: Developing a portfolioDeveloping a portfolio, Category: Decision-MakingDecision-Making, Category: SpreadsheetSpreadsheet, Category: Data AnalysisData Analysis, Category: Problem SolvingProblem Solving, Category: QuestioningQuestioning, Category: Data AnalysisData Analysis, Category: R MarkdownR Markdown, Category: Data VisualizationData Visualization, Category: R ProgrammingR Programming, Category: RstudioRstudio, Category: Data AggregationData Aggregation, Category: SpreadsheetSpreadsheet, Category: Data AnalysisData Analysis, Category: Data CalculationsData Calculations, Category: SQLSQL, Category: Data CollectionData Collection, Category: SpreadsheetSpreadsheet, Category: MetadataMetadata, Category: SQLSQL, Category: Data EthicsData Ethics, Category: Data AnalysisData Analysis, Category: Tableau SoftwareTableau Software, Category: Data VisualizationData Visualization, Category: PresentationPresentation, Category: SpreadsheetSpreadsheet, Category: Data AnalysisData Analysis, Category: SQLSQL, Category: Data VisualizationData Visualization, Category: Data CleansingData Cleansing"
Google Cybersecurity,Google,4.8,42K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-cybersecurity,758422.0,"Category: Security HardeningSecurity Hardening, Category: Network SecurityNetwork Security, Category: Transmission Control Protocol / Internet Protocol (TCP/IP)Transmission Control Protocol / Internet Protocol (TCP/IP), Category: Network ArchitectureNetwork Architecture, Category: Cloud NetworksCloud Networks, Category: Information Security (INFOSEC)Information Security (INFOSEC), Category: NIST Risk Management Framework (RMF)NIST Risk Management Framework (RMF), Category: Security AuditsSecurity Audits, Category: NIST Cybersecurity Framework (CSF)NIST Cybersecurity Framework (CSF), Category: Incident Response PlaybooksIncident Response Playbooks, Category: Command line interface (CLI)Command line interface (CLI), Category: SQLSQL, Category: LinuxLinux, Category: BashBash, Category: escalationescalation, Category: resume and portfolio preparationresume and portfolio preparation, Category: stakeholder communicationstakeholder communication, Category: Job preparednessJob preparedness, Category: integrity and discretionintegrity and discretion, Category: AuthenticationAuthentication, Category: vulnerability assessmentvulnerability assessment, Category: CryptographyCryptography, Category: asset classificationasset classification, Category: threat analysisthreat analysis, Category: CybersecurityCybersecurity, Category: Information Security (INFOSEC)Information Security (INFOSEC), Category: Ethics in cybersecurityEthics in cybersecurity, Category: NIST Cybersecurity Framework (CSF)NIST Cybersecurity Framework (CSF), Category: Historical AttacksHistorical Attacks, Category: Security Information and Event Management (SIEM) toolsSecurity Information and Event Management (SIEM) tools, Category: Packet AnalyzerPacket Analyzer, Category: Intrusion Detection Systems (IDS)Intrusion Detection Systems (IDS), Category: Computer ProgrammingComputer Programming, Category: Python ProgrammingPython Programming, Category: CodingCoding, Category: PEP 8 style guidePEP 8 style guide"
Google Project Management:,Google,4.8,119K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-project-management,1806484.0,"Category: Project ManagementProject Management, Category: Risk ManagementRisk Management, Category: Strategic ThinkingStrategic Thinking, Category: Quality ManagementQuality Management, Category: Project ExecutionProject Execution, Category: ProcurementProcurement, Category: Risk ManagementRisk Management, Category: Strategic ThinkingStrategic Thinking, Category: Task EstimationTask Estimation, Category: Project PlanningProject Planning, Category: Project ManagementProject Management, Category: Strategic ThinkingStrategic Thinking, Category: Business WritingBusiness Writing, Category: Stakeholder ManagementStakeholder Management, Category: Project CharterProject Charter, Category: Agile ManagementAgile Management, Category: Problem SolvingProblem Solving, Category: CoachingCoaching, Category: ScrumScrum, Category: InfluencingInfluencing, Category: Project ManagementProject Management, Category: Problem SolvingProblem Solving, Category: Quality ManagementQuality Management, Category: Effective CommunicationEffective Communication, Category: Stakeholder ManagementStakeholder Management, Category: Project ManagementProject Management, Category: Change ManagementChange Management, Category: Strategic ThinkingStrategic Thinking, Category: Career DevelopmentCareer Development, Category: Organizational CultureOrganizational Culture"
Google Digital Marketing & E-commerce,Google,4.8,34K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,830439.0,"Category: Social Media BrandingSocial Media Branding, Category: Social Media AnalyticsSocial Media Analytics, Category: Social ListeningSocial Listening, Category: Customer EngagementCustomer Engagement, Category: Social Media BiddingSocial Media Bidding, Category: E-Commerce StrategyE-Commerce Strategy, Category: SeasonalitySeasonality, Category: E-commerce platformsE-commerce platforms, Category: Fulfillment and deliveryFulfillment and delivery, Category: Website StructureWebsite Structure, Category: Search Engine Optimization (SEO)Search Engine Optimization (SEO), Category: GoogleGoogle, Category: Search Engine MarketingSearch Engine Marketing, Category: Customer AwarenessCustomer Awareness, Category: Website StructureWebsite Structure, Category: Customer Relationship Management (CRM)Customer Relationship Management (CRM), Category: Portfolio preparationPortfolio preparation, Category: Building customer loyaltyBuilding customer loyalty, Category: E-commerce store optimizationE-commerce store optimization, Category: Job preparednessJob preparedness, Category: E-CommerceE-Commerce, Category: Customer loyaltyCustomer loyalty, Category: Customer OutreachCustomer Outreach, Category: MarketingMarketing, Category: Marketing AnalyticsMarketing Analytics, Category: Media planning and strategiesMedia planning and strategies, Category: Spreadsheet managementSpreadsheet management, Category: Presenting to stakeholdersPresenting to stakeholders, Category: Marketing AnalyticsMarketing Analytics, Category: Digital marketing KPIsDigital marketing KPIs, Category: Email marketing analyticsEmail marketing analytics, Category: Email WritingEmail Writing, Category: Contact managementContact management, Category: Email marketing strategyEmail marketing strategy, Category: Email list segmentationEmail list segmentation"
Google IT Support,Google,4.8,196K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-it-support,1695364.0,"Category: CybersecurityCybersecurity, Category: Wireless SecurityWireless Security, Category: CryptographyCryptography, Category: Network SecurityNetwork Security, Category: PowershellPowershell, Category: Linux File SystemsLinux File Systems, Category: Command-Line InterfaceCommand-Line Interface, Category: LinuxLinux, Category: Binary CodeBinary Code, Category: Customer SupportCustomer Support, Category: LinuxLinux, Category: TroubleshootingTroubleshooting, Category: Domain Name System (DNS)Domain Name System (DNS), Category: Ipv4Ipv4, Category: Network ModelNetwork Model, Category: TroubleshootingTroubleshooting, Category: Directory ServiceDirectory Service, Category: Lightweight Directory Access Protocol (LDAP)Lightweight Directory Access Protocol (LDAP), Category: BackupBackup"
Google UX Design,Google,4.8,86K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-ux-design,1105141.0,"Category: Usability TestingUsability Testing, Category: User Experience (UX)User Experience (UX), Category: PrototypePrototype, Category: User Experience Design (UXD)User Experience Design (UXD), Category: UX ResearchUX Research, Category: Usability TestingUsability Testing, Category: User Experience (UX)User Experience (UX), Category: UX design jobsUX design jobs, Category: PrototypePrototype, Category: User Experience Design (UXD)User Experience Design (UXD), Category: User Experience (UX)User Experience (UX), Category: PrototypePrototype, Category: WireframeWireframe, Category: User Experience Design (UXD)User Experience Design (UXD), Category: UX ResearchUX Research, Category: Usability TestingUsability Testing, Category: User Experience (UX)User Experience (UX), Category: PrototypePrototype, Category: User Experience Design (UXD)User Experience Design (UXD), Category: User Experience (UX)User Experience (UX), Category: PrototypePrototype, Category: WireframeWireframe, Category: User Experience Design (UXD)User Experience Design (UXD), Category: UX ResearchUX Research, Category: User Experience (UX)User Experience (UX), Category: PrototypePrototype, Category: mockupmockup, Category: User Experience Design (UXD)User Experience Design (UXD), Category: FigmaFigma, Category: User Experience (UX)User Experience (UX), Category: PrototypePrototype, Category: WireframeWireframe, Category: User Experience Design (UXD)User Experience Design (UXD), Category: UX ResearchUX Research"
Machine Learning,Multiple educators,4.9,29K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/machine-learning-introduction,533022.0,"Category: Linear RegressionLinear Regression, Category: Regularization to Avoid OverfittingRegularization to Avoid Overfitting, Category: Logistic Regression for ClassificationLogistic Regression for Classification, Category: Gradient DescentGradient Descent, Category: Supervised LearningSupervised Learning, Category: TensorflowTensorflow, Category: Advice for Model DevelopmentAdvice for Model Development, Category: Artificial Neural NetworkArtificial Neural Network, Category: XgboostXgboost, Category: Tree EnsemblesTree Ensembles, Category: Anomaly DetectionAnomaly Detection, Category: Unsupervised LearningUnsupervised Learning, Category: Reinforcement LearningReinforcement Learning, Category: Collaborative FilteringCollaborative Filtering, Category: Recommender SystemsRecommender Systems"
Deep Learning,DeepLearning.AI,4.8,145K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/deep-learning,889552.0,"Category: TensorflowTensorflow, Category: Deep LearningDeep Learning, Category: hyperparameter tuninghyperparameter tuning, Category: Mathematical OptimizationMathematical Optimization, Category: Gated Recurrent Unit (GRU)Gated Recurrent Unit (GRU), Category: Recurrent Neural NetworkRecurrent Neural Network, Category: Natural Language ProcessingNatural Language Processing, Category: Long Short Term Memory (LSTM)Long Short Term Memory (LSTM), Category: Attention ModelsAttention Models, Category: Artificial Neural NetworkArtificial Neural Network, Category: BackpropagationBackpropagation, Category: Python ProgrammingPython Programming, Category: Deep LearningDeep Learning, Category: Neural Network ArchitectureNeural Network Architecture, Category: Decision-MakingDecision-Making, Category: Machine LearningMachine Learning, Category: Deep LearningDeep Learning, Category: Inductive TransferInductive Transfer, Category: Multi-Task LearningMulti-Task Learning, Category: Facial Recognition SystemFacial Recognition System, Category: TensorflowTensorflow, Category: Convolutional Neural NetworkConvolutional Neural Network, Category: Deep LearningDeep Learning, Category: Object Detection and SegmentationObject Detection and Segmentation"
Google AI Essentials,Google,4.7,7.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/google-ai-essentials,895109.0,
IBM Data Science,IBM,4.6,136K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-science,656786.0,"Category: Model SelectionModel Selection, Category: Data AnalysisData Analysis, Category: Python ProgrammingPython Programming, Category: Data VisualizationData Visualization, Category: Predictive ModellingPredictive Modelling, Category: Data ScienceData Science, Category: Python ProgrammingPython Programming, Category: GithubGithub, Category: RstudioRstudio, Category: Jupyter notebooksJupyter notebooks, Category: Data ScienceData Science, Category: Data AnalysisData Analysis, Category: Python ProgrammingPython Programming, Category: NumpyNumpy, Category: PandasPandas, Category: Python ProgrammingPython Programming, Category: Dashboards and ChartsDashboards and Charts, Category: dashdash, Category: Data VisualizationData Visualization, Category: MatplotlibMatplotlib, Category: GithubGithub, Category: Jupyter NotebookJupyter Notebook, Category: K-Means ClusteringK-Means Clustering, Category: MethodologyMethodology, Category: Data Science MethodologyData Science Methodology, Category: Python ProgrammingPython Programming, Category: Cloud DatabasesCloud Databases, Category: Relational Database Management System (RDBMS)Relational Database Management System (RDBMS), Category: SQLSQL, Category: Jupyter notebooksJupyter notebooks, Category: Machine LearningMachine Learning, Category: regressionregression, Category: Hierarchical ClusteringHierarchical Clustering, Category: classificationclassification, Category: SciPy and scikit-learnSciPy and scikit-learn, Category: Data ScienceData Science, Category: Data AnalysisData Analysis, Category: Quering DatabasesQuering Databases, Category: Data GenerationData Generation, Category: Generative AIGenerative AI, Category: Career DevelopmentCareer Development, Category: Interviewing SkillsInterviewing Skills, Category: Job PreparationJob Preparation, Category: Resume BuildingResume Building, Category: Data ScienceData Science, Category: Data AnalysisData Analysis, Category: Python ProgrammingPython Programming, Category: PandasPandas, Category: Jupyter notebooksJupyter notebooks, Category: Data ScienceData Science, Category: Big DataBig Data, Category: Machine LearningMachine Learning, Category: Deep LearningDeep Learning, Category: Data MiningData Mining, Category: Data ScienceData Science, Category: Data AnalysisData Analysis, Category: CRISP-DMCRISP-DM, Category: MethodologyMethodology, Category: Data MiningData Mining"
